Date,TV_HOURS, NOTE
20160101,
20160102,
20160103,
20160104,
20160105,
20160106,
20160107,
20160108,
20160109,
20160110,
20160111,
20160112,
20160113,
20160114,
20160115,
20160116,
20160117,
20160118,
20160119,
20160120,
20160121,
20160122,
20160123,
20160124,
20160125,
20160126,
20160127,
20160128,
20160129,
20160130,
20160131,
20160201,
20160202,
20160203,
20160204,
20160205,
20160206,
20160207,
20160208,
20160209,
20160210,
20160211,
20160212,
20160213,
20160214,
20160215,
20160216,
20160217,
20160218,
20160219,
20160220,
20160221,
20160222,
20160223,
20160224,
20160225,
20160226,
20160227,
20160228,
20160229,
20160301,
20160302,
20160303,
20160304,
20160305,
20160306,
20160307,
20160308,
20160309,
20160310,
20160311,
20160312,
20160313,
20160314,
20160315,
20160316,
20160317,
20160318,
20160319,
20160320,
20160321,
20160322,
20160323,
20160324,
20160325,
20160326,
20160327,
20160328,
20160329,
20160330,
20160331,
20160401,
20160402,
20160403,
20160404,
20160405,
20160406,
20160407,
20160408,
20160409,
20160410,
20160411,
20160412,
20160413,
20160414,
20160415,
20160416,1
20160417,0
20160418,0
20160419,0
20160420,0
20160421,0
20160422,0
20160423,0
20160424,0
20160425,0
20160426,0
20160427,0
20160428,0
20160429,1,Iris Documentary with Amber and Shiva
20160430,2,Interviews on YouTube (LW DJ)
20160501,3,The Devil Wears Prada and Stand by Me with Amber
20160502,0
20160503,0
20160504,0
20160505,0
20160506,0
20160507,0
20160508,0
20160509,1,看了 我们相爱吧
20160510,1,看了 我们相爱吧
20160511,0
20160512,0
20160513,1,My Girl
20160514,0
20160515,0
20160516,0
20160517,0
20160518,0
20160519,0
20160520,0
20160521,0
20160522,0
20160523,0
20160524,0
20160525,0
20160526,0
20160527,0
20160528,0
20160529,0
20160530,0
20160531,0
20160601,0
20160602,0
20160603,0
20160604,5
20160605,5
20160606,0
20160607,0
20160608,0
20160609,0
20160610,0
20160611,2
20160612,2
20160613,1
20160614,
20160615,
20160616,
20160617,
20160618,
20160619,
20160620,
20160621,
20160622,
20160623,
20160624,
20160625,
20160626,
20160627,
20160628,
20160629,
20160630,
20160701,
20160702,
20160703,
20160704,
20160705,
20160706,
20160707,
20160708,
20160709,
20160710,
20160711,
20160712,
20160713,
20160714,
20160716,
20160717,0
20160718,0
20160719,0
